title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$
Mission: Impossible—Ghost Protocol,2011,Dec,14,145000000,209397903,694713230
How to Train Your Dragon 2,2014,Jun,5,145000000,177002924,614586270
Tarzan,1999,Jun,16,145000000,171091819,448191819
Mr. Peabody & Sherman,2014,Feb,20,145000000,111506430,269806430
Rise of the Guardians,2012,Nov,20,145000000,103412758,306900902
Sahara,2005,Apr,8,145000000,68671925,121645390
Ghostbusters,2016,Jul,13,144000000,128350574,229008658
Die Another Day,2002,Nov,22,142000000,160942139,431942139
Pirates of the Caribbean: The Curse of the Blac…,2003,Jul,9,140000000,305410819,654310819
Star Trek,2009,May,8,140000000,257730019,386839614
Armageddon,1998,Jul,1,140000000,201578182,554600000
Men in Black 2,2002,Jul,3,140000000,190418803,441767803
Captain America: The First Avenger,2011,Jul,22,140000000,176654505,370569776
Kung Fu Panda 3,2016,Jan,23,140000000,143528619,521170825
Lethal Weapon 4,1998,Jul,10,140000000,130444603,285400000
G.I. Joe: Retaliation,2013,Mar,27,140000000,122523060,375740705
The Last Samurai,2003,Dec,5,140000000,111110575,456810575
Fun With Dick And Jane,2005,Dec,21,140000000,110550000,203018919
Exodus: Gods and Kings,2014,Dec,5,140000000,65014513,268314513
The BFG,2016,Jun,30,140000000,55483770,199646680
Gemini Man,2019,Oct,3,140000000,48546770,166623705
Gods of Egypt,2016,Feb,24,140000000,31153464,138836756
Spider-Man,2002,May,3,139000000,403706375,821706375
Watchmen,2009,Mar,6,138000000,107509799,186976250
Stealth,2005,Jul,29,138000000,32116746,76416746
The Incredible Hulk,2008,Jun,13,137500000,134806913,265573859
Hulk,2003,Jun,20,137000000,132177234,245031679
Final Fantasy: The Spirits Within,2001,Jul,11,137000000,32131830,85131830
"The Twilight Saga: Breaking Dawn, Part 2",2012,Nov,14,136200000,292324737,829724737
The Croods,2013,Mar,15,135000000,187168425,573068425
The Revenant,2015,Dec,25,135000000,183637894,532938302
The World is Not Enough,1999,Nov,19,135000000,126930660,361730660
Rango,2011,Mar,4,135000000,123477607,245724600
Master and Commander: The Far Side of the World,2003,Nov,14,135000000,93926386,212912137
Turbo,2013,Jul,17,135000000,83028130,286896578
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Jun,2,135000000,82051601,245328374
Happy Feet Two,2011,Nov,18,135000000,64006466,157956466
Miami Vice,2006,Jul,28,135000000,63478838,164920076
The Nutcracker and the Four Realms,2018,Oct,31,132900000,54858851,170024300
War of the Worlds,2005,Jun,24,132000000,234280354,606836535
Penguins of Madagascar,2014,Nov,26,132000000,83350911,366942531
The Hunger Games: Catching Fire,2013,Nov,15,130000000,424668047,864868047
Harry Potter and the Prisoner of Azkaban,2004,May,31,130000000,249757726,789961033
The Bourne Ultimatum,2007,Aug,3,130000000,227471070,444043396
Ant-Man and the Wasp,2018,Jul,3,130000000,216648740,623144660
Kung Fu Panda,2008,Jun,6,130000000,215434591,631910531
Ant-Man,2015,Jul,14,130000000,180202163,518858449
Home,2015,Mar,19,130000000,177397510,385997896
Mary Poppins Returns,2018,Dec,19,130000000,171958438,348901032
Puss in Boots,2011,Oct,28,130000000,149260504,554987477
Megamind,2010,Nov,5,130000000,148415853,321887208
Bad Boys II,2003,Jul,18,130000000,138540870,273271982
Rio 2,2014,Mar,20,130000000,131538435,492846291
Salt,2010,Jul,23,130000000,118311368,290650494
Noah,2014,Mar,27,130000000,101200044,352831065
The Adventures of Tintin,2011,Oct,28,130000000,77591831,373993951
After Earth,2013,May,31,130000000,60522097,251499665
Australia,2008,Nov,26,130000000,49554002,215080810
R.I.P.D.,2013,Jul,19,130000000,33618855,79076678
How to Train Your Dragon: The Hidden World,2019,Jan,3,129000000,160799505,522747474
"The Twilight Saga: Breaking Dawn, Part 1",2011,Nov,18,127500000,281287133,689420051
Dinosaur,2000,May,19,127500000,137748063,356148063
Logan,2017,Feb,23,127000000,226277068,614202315
Night at the Museum: Secret of the Tomb,2014,Dec,18,127000000,113746621,353756621
Harry Potter and the Deathly Hallows: Part II,2011,Jul,13,125000000,381193157,1334392544
The Hunger Games: Mockingjay - Part 1,2014,Nov,19,125000000,337135885,766575131
Harry Potter and the Sorcerer’s Stone,2001,Nov,15,125000000,317871467,965054122
Jumanji: The Next Level,2019,Dec,4,125000000,316831246,798332900
Harry Potter and the Deathly Hallows: Part I,2010,Nov,17,125000000,296131568,955371891
The Da Vinci Code,2006,May,19,125000000,217536138,767820459
X-Men 2,2003,Apr,30,125000000,214949694,406348630
Fast Five,2011,Apr,21,125000000,210031325,630163454
Teenage Mutant Ninja Turtles,2014,Aug,8,125000000,191204754,485004754
Sherlock Holmes: A Game of Shadows,2011,Dec,16,125000000,186848418,535663443
The Day After Tomorrow,2004,May,27,125000000,186740799,555840117
The Boss Baby,2017,Mar,17,125000000,175003033,527965936
Clash of the Titans,2010,Apr,1,125000000,163214888,493214888
Trolls,2016,Oct,12,125000000,153707064,343242613
Godzilla,1998,May,19,125000000,136314294,376000000
Prometheus,2012,May,30,125000000,126477084,402448265
The Bourne Legacy,2012,Aug,10,125000000,113203870,280355920
Batman & Robin,1997,Jun,20,125000000,107325195,238317814
Skyscraper,2018,Jul,5,125000000,68420120,304868961
The Call of the Wild,2020,Jan,3,125000000,62342368,107360936
Total Recall,2012,Aug,3,125000000,58877969,211856088
Assassin’s Creed,2016,Dec,21,125000000,54647948,240759682
Monster Trucks,2016,Dec,29,125000000,33370166,61642798
The 13th Warrior,1999,Aug,27,125000000,32698899,61698899
How the Grinch Stole Christmas,2000,Nov,17,123000000,260348825,345445403
Mission: Impossible 2,2000,May,24,120000000,215409889,549588516
The Perfect Storm,2000,Jun,30,120000000,182618434,328711434
Jason Bourne,2016,Jul,20,120000000,162192920,416168316
Fantastic Four: Rise of the Silver Surfer,2007,Jun,15,120000000,131921738,289480691
Life of Pi,2012,Nov,21,120000000,124987022,619310368
Ghost Rider,2007,Feb,16,120000000,115802596,229545589
Rampage,2018,Apr,9,120000000,101028233,427947217
Charlie's Angels: Full Throttle,2003,Jun,27,120000000,100814328,227163273
Elysium,2013,Aug,9,120000000,93050117,286192091
Oblivion,2013,Apr,19,120000000,89107235,287916633
Power Rangers,2017,Mar,24,120000000,85364450,142531552
Stuart Little 2,2002,Jul,19,120000000,64956806,166000000
RoboCop,2014,Feb,12,120000000,58607007,242981799
The Chronicles of Riddick,2004,Jun,11,120000000,57712751,107212751
The Fantastic Four,2015,Aug,5,120000000,56117548,167849187
Speed Racer,2008,May,9,120000000,43945766,93394462
The Island,2005,Jul,22,120000000,35818913,163018913
How Do You Know?,2010,Dec,17,120000000,30212620,49628177
Knight and Day,2010,Jun,23,117000000,76423035,258751370
Venom,2018,Oct,2,116000000,213511408,853530899
Star Wars Ep. I: The Phantom Menace,1999,May,19,115000000,474544677,1027044677
Star Wars Ep. III: Revenge of the Sith,2005,May,19,115000000,380270577,848998877
Star Wars Ep. II: Attack of the Clones,2002,May,16,115000000,310676740,656695615
"Monsters, Inc.",2001,Nov,2,115000000,290149425,560483719
The Wolverine,2013,Jul,26,115000000,132556852,416456852
Dante’s Peak,1997,Feb,7,115000000,67163857,178200000
The Huntsman: Winter’s War,2016,Apr,6,115000000,48003015,165149302
Windtalkers,2002,Jun,14,115000000,40914068,77628265
Astérix aux Jeux Olympiques,2008,Jul,4,113500000,999811,132999811
Gulliver's Travels,2010,Dec,24,112000000,42779261,232017848
Ferdinand,2017,Dec,8,111000000,84410380,289838913
Deadpool 2,2018,May,11,110000000,324591735,786362370
Gravity,2013,Oct,3,110000000,274092705,689742192
Night at the Museum,2006,Dec,22,110000000,250863268,579446407
Mr. and Mrs. Smith,2005,Jun,10,110000000,186336279,486124090
San Andreas,2015,May,27,110000000,155190832,456258539
Venom: Let There be Carnage,2021,Sep,30,110000000,145440548,188908383
The Smurfs,2011,Jul,29,110000000,142614158,563749323
Live Free or Die Hard,2007,Jun,27,110000000,134529403,382288147
The Divergent Series: Insurgent,2015,Mar,18,110000000,130179072,295075882
Ocean's Twelve,2004,Dec,10,110000000,125531634,362989076
Tomorrow Never Dies,1997,Dec,19,110000000,125304276,339504276
The Patriot,2000,Jun,28,110000000,113330342,215300000
300: Rise of an Empire,2014,Mar,7,110000000,106580051,330780051
The Aviator,2004,Dec,17,110000000,102608827,208370892
Passengers,2016,Dec,21,110000000,100014699,302239672
The Green Hornet,2011,Jan,14,110000000,98780042,229155503
Miss Peregrine’s Home for Peculiar Children,2016,Sep,21,110000000,87242834,295986876
Real Steel,2011,Oct,7,110000000,85463309,263880341
Men in Black: International,2019,Jun,12,110000000,80001807,253020464
The A-Team,2010,Jun,11,110000000,77222099,177241171
The Smurfs 2,2013,Jul,31,110000000,71017784,348547523
The Divergent Series: Allegiant,2016,Mar,9,110000000,66184051,172022517
The Taking of Pelham 123,2009,Jun,12,110000000,65452312,152364370
Ender's Game,2013,Oct,25,110000000,61737191,127983283
Home on the Range,2004,Apr,2,110000000,50026353,76482461
